       pp_ac.sim::cutoff_lowpass_3db(v(out))              pp_ac.sim::max(db(v(out)))              pp_dc.sim::i(q1:c)              pp_dc.sim::w(q1)              r3::value              r7::value       
3003673.9064929 -15.991269975449 0.16033698137490 0.037778016181793 110.00000000000 3.3000000000000 
2655331.1367145 -6.3769942948482 0.14544949437694 0.029354710102412 1210.0000000000 3.3000000000000 
80559189.286333 31.671169632223 0.10331773316280 1.2740062178980 2310.0000000000 3.3000000000000 
82147657.691306 32.323686441431 0.074388057603386 1.5622285400573 3410.0000000000 3.3000000000000 
81274122.118590 32.650187919356 0.056299185180409 1.4870006283243 4510.0000000000 3.3000000000000 
80684260.799273 32.792638196915 0.043662791062255 1.3182559849991 5610.0000000000 3.3000000000000 
80754613.159652 32.801456495380 0.034226301997046 1.1299077120186 6710.0000000000 3.3000000000000 
81575054.998361 32.691448956551 0.026865967773958 0.94600525141118 7810.0000000000 3.3000000000000 
83229524.813734 32.456172084029 0.020930376936402 0.77395811290906 8910.0000000000 3.3000000000000 
85832813.079689 32.069358929509 0.016085801362240 0.61808066784449 10010.000000000 3.3000000000000 
2990253.2117621 -1.6707196108434 0.14377462320337 0.034783160640576 110.00000000000 36.300000000000 
192897043.96104 17.840706030501 0.070759185844513 1.5631551163327 1210.0000000000 36.300000000000 
199509012.80741 18.524708263656 0.046167246414048 1.3593569737412 2310.0000000000 36.300000000000 
201561194.95791 18.733436983512 0.032975311994345 1.1009414184118 3410.0000000000 36.300000000000 
201975809.60666 18.767840080630 0.024632692512320 0.88378167898966 4510.0000000000 36.300000000000 
201413632.33045 18.701271496597 0.018859376591729 0.70913216244439 5610.0000000000 36.300000000000 
200106298.71226 18.552191034720 0.014626614713315 0.56842738431812 6710.0000000000 36.300000000000 
198034627.94562 18.319600416717 0.011396420691811 0.45384908292140 7810.0000000000 36.300000000000 
195124708.16953 17.987851563539 0.0088499888677412 0.35911092986983 8910.0000000000 36.300000000000 
191058562.11937 17.528617246340 0.0068161074139481 0.28069251873396 10010.000000000 36.300000000000 
210166033.47370 10.071163748281 0.082115184777392 1.5346388862955 110.00000000000 69.300000000000 
216730273.31321 14.899066185213 0.043801171389264 1.3207731071104 1210.0000000000 69.300000000000 
218034755.62555 15.308155214052 0.028892005980416 0.99989170599832 2310.0000000000 69.300000000000 
217455950.72019 15.359575474284 0.020692391037701 0.76675819701732 3410.0000000000 69.300000000000 
215894629.74832 15.260737914884 0.015476326744697 0.59753886885812 4510.0000000000 69.300000000000 
213619278.06214 15.058576420762 0.011864905562121 0.47085529080174 5610.0000000000 69.300000000000 
210649571.16631 14.760297826655 0.0092204625433858 0.37315478029068 6710.0000000000 69.300000000000 
206972494.48123 14.356322892095 0.0072058363329211 0.29592485343685 7810.0000000000 69.300000000000 
202474647.46043 13.822769886828 0.0056258065489485 0.23366390349337 8910.0000000000 69.300000000000 
196916609.64247 13.124286000534 0.0043548224719153 0.18249745423903 10010.000000000 69.300000000000 
225810967.82424 8.9851469877673 0.057111695118500 1.4947241816228 110.00000000000 102.30000000000 
225643063.48405 13.369253034839 0.031506028809415 1.0658215759602 1210.0000000000 102.30000000000 
224845789.06243 13.619393036938 0.020919808016156 0.77379068501706 2310.0000000000 102.30000000000 
222818339.58559 13.553478065916 0.015025604049852 0.58216486656486 3410.0000000000 102.30000000000 
220053891.43284 13.340523866708 0.011260975934009 0.44891589581453 4510.0000000000 102.30000000000 
216669920.23701 13.016699129738 0.0086504767246506 0.35155265375911 5610.0000000000 102.30000000000 
212693970.76824 12.583952564369 0.0067377651410935 0.27763667239962 6710.0000000000 102.30000000000 
208112877.22124 12.026197293099 0.0052801865936739 0.21984737084352 7810.0000000000 102.30000000000 
202816595.29331 11.318574049850 0.0041368032965845 0.17363175186595 8910.0000000000 102.30000000000 
196591629.08726 10.426523583454 0.0032167658060906 0.13587777923579 10010.000000000 102.30000000000 
232595886.10767 8.2201397687038 0.043733045593753 1.3196215960173 110.00000000000 135.30000000000 
229732408.35234 12.394968480475 0.024555584245436 0.88167962763449 1210.0000000000 135.30000000000 
227574956.82091 12.531069591398 0.016375765613265 0.62790863232100 2310.0000000000 135.30000000000 
224553123.88813 12.364397855485 0.011788363321461 0.46810000481987 3410.0000000000 135.30000000000 
220894923.46583 12.050245907638 0.0088503058132113 0.35915320110268 4510.0000000000 135.30000000000 
216752131.05785 11.615611887583 0.0068102907217410 0.28048121973715 5610.0000000000 135.30000000000 
212122354.12476 11.060064134468 0.0053144643957869 0.22122200527636 6710.0000000000 135.30000000000 
206996246.07232 10.367035428650 0.0041740046851016 0.17514820473491 7810.0000000000 135.30000000000 
201262230.88025 9.5133135104235 0.0032790069977437 0.13845105996274 8910.0000000000 135.30000000000 
194754242.98778 8.4640832461572 0.0025584856694918 0.10856181485056 10010.000000000 135.30000000000 
236112362.18792 7.6610829234775 0.035422473809196 1.1568967672017 110.00000000000 168.30000000000 
231593214.08456 11.703228929173 0.020104953011527 0.74858761685031 1210.0000000000 168.30000000000 
228488604.23953 11.741916786499 0.013449039531193 0.52741366288560 2310.0000000000 168.30000000000 
224659435.73893 11.486023401256 0.0096985544159111 0.39114115734632 3410.0000000000 168.30000000000 
220356187.50531 11.076781954522 0.0072917768205168 0.29927568519746 4510.0000000000 168.30000000000 
215672325.45232 10.539542387664 0.0056189264755851 0.23339304666521 5610.0000000000 168.30000000000 
210589719.48035 9.8741020659369 0.0043915387464727 0.18399684190091 6710.0000000000 168.30000000000 
205125832.77985 9.0629594612136 0.0034553122285205 0.14571797291302 7810.0000000000 168.30000000000 
199158297.11887 8.0846715683167 0.0027202974383380 0.11530275478729 8910.0000000000 168.30000000000 
192442692.24472 6.9100130028969 0.0021283070719668 0.090573049373882 10010.000000000 168.30000000000 
238030871.84247 7.2308599458205 0.029763477059031 1.0224273824120 110.00000000000 201.30000000000 
232367713.77001 11.170117569560 0.017016102492261 0.64925418230508 1210.0000000000 201.30000000000 
228440475.94933 11.125087271719 0.011409059613667 0.45434025706276 2310.0000000000 201.30000000000 
223997700.80099 10.784744261098 0.0082390330745313 0.33584762641984 3410.0000000000 201.30000000000 
219199375.49661 10.286386845501 0.0062017648553592 0.25653822836730 4510.0000000000 201.30000000000 
214084261.06812 9.6568079171879 0.0047845998889576 0.19991406677603 5610.0000000000 201.30000000000 
208714706.63609 8.8904853404854 0.0037442675477683 0.15758832672491 6710.0000000000 201.30000000000 
203013274.30185 7.9758377266247 0.0029504123872953 0.12485967285213 7810.0000000000 201.30000000000 
196883965.99324 6.8922290144363 0.0023269565220290 0.098895529547804 8910.0000000000 201.30000000000 
